No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|Year
1|13/08/2020|Vente|645000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|10.0|2|2.0|Appartement|60.0|2.0|2018
1|13/08/2020|Vente|645000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|6.0|2|4.0|Local industriel. commercial ou assimilé|27.0|0.0|2018
1|13/08/2020|Vente|645000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|12.0|1|2.0|Appartement|56.0|2.0|2018
1|13/08/2020|Vente|645000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|13.0|2|2.0|Appartement|70.0|3.0|2018
1|13/08/2020|Vente|645000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|19.0|2|4.0|Local industriel. commercial ou assimilé|72.0|0.0|2018
1|27/08/2020|Vente|240760,00|15.0|RUE|0310|DES BERNARDINES|13100.0|AIX EN PROVENCE|13|1||AM|129|15.0|2|2.0|Appartement|44.0|2.0|2018
1|14/08/2020|Vente|798500,00|350.0|AV|2912|DES TAMARIS|13100.0|AIX EN PROVENCE|13|1||CV|141||0|1.0|Maison|102.0|5.0|2018
1|05/08/2020|Vente|238000,00|25.0|RUE|1388|HENRI MOISSAN|13100.0|AIX EN PROVENCE|13|1||EL|106|129.0|1|2.0|Appartement|49.0|2.0|2018
1|05/08/2020|Vente|238000,00|25.0|RUE|1388|HENRI MOISSAN|13100.0|AIX EN PROVENCE|13|1||EL|106|18.0|1|3.0|Dépendance|0.0|0.0|2018
1|19/06/2020|Vente|516700,00|3.0|PTR|2280|PETITE RUE SAINT JEAN|13100.0|AIX EN PROVENCE|13|1||AE|259|5.0|1|4.0|Local industriel. commercial ou assimilé|97.0|0.0|2018
1|17/08/2020|Vente|1418000,00|||B398|LA RICARDE|13100.0|AIX EN PROVENCE|13|1||PE|20||0|||||2018
1|31/08/2020|Vente|445000,00|||B236|LES LAUVES|13100.0|AIX EN PROVENCE|13|1||ON|527||0|||||2018
